TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Summer 2022,,409,6,Kew Gardens and Woodhaven (CD9),9.3,12.3,10.6,NO2,375
Summer 2022,,410,6,South Ozone Park and Howard Beach (CD10),7.7,10.4,9.2,NO2,375
Summer 2022,,411,6,Bayside and Little Neck (CD11),9.1,12.7,10.7,NO2,375
Summer 2022,,412,6,Jamaica and Hollis (CD12),9.2,12.2,10.3,NO2,375
Summer 2022,,413,6,Queens Village (CD13),8.8,11.2,10,NO2,375
Summer 2022,,414,6,Rockaway and Broad Channel (CD14),5.8,8,6.9,NO2,375
Summer 2022,,501,6,St. George and Stapleton (CD1),8.3,10.4,9.3,NO2,375
Summer 2022,,502,6,South Beach and Willowbrook (CD2),6.6,9.7,8,NO2,375
Summer 2022,,503,6,Tottenville and Great Kills (CD3),5.6,7.7,6.8,NO2,375
Summer 2022,,101,4,Kingsbridge - Riverdale,9.2,12.9,10.6,NO2,375
Summer 2022,,102,4,Northeast Bronx,10.7,13.1,11.6,NO2,375
Summer 2022,,103,4,Fordham - Bronx Pk,10.3,12.6,11.5,NO2,375
Summer 2022,,104,4,Pelham - Throgs Neck,10,13.9,12,NO2,375
Summer 2022,,105,4,Crotona -Tremont,12.1,15.5,13.6,NO2,375
Summer 2022,,106,4,High Bridge - Morrisania,12.4,15.7,13.6,NO2,375
Summer 2022,,107,4,Hunts Point - Mott Haven,9.3,15.7,13.4,NO2,375
Summer 2022,,201,4,Greenpoint,12.5,15.7,14.1,NO2,375
Summer 2022,,202,4,Downtown - Heights - Slope,11,15.9,13.4,NO2,375
Summer 2022,,203,4,Bedford Stuyvesant - Crown Heights,10.5,12.6,11.4,NO2,375
Summer 2022,,204,4,East New York,9.2,12.7,10.9,NO2,375
Summer 2022,,205,4,Sunset Park,9.1,16.4,12.5,NO2,375
Summer 2022,,206,4,Borough Park,9.3,11.1,10.1,NO2,375
Summer 2022,,207,4,East Flatbush - Flatbush,9.3,11.1,10.2,NO2,375
Summer 2022,,208,4,Canarsie - Flatlands,6.3,10.9,8.6,NO2,375
Summer 2022,,209,4,Bensonhurst - Bay Ridge,8.5,12.2,9.8,NO2,375
Summer 2022,,210,4,Coney Island - Sheepshead Bay,7.3,9.4,8.5,NO2,375
Summer 2022,,211,4,Williamsburg - Bushwick,10.9,15,12.7,NO2,375
Summer 2022,,301,4,Washington Heights,10.7,19.1,13.5,NO2,375
Summer 2022,,302,4,Central Harlem - Morningside Heights,12.7,13.9,13.2,NO2,375
Summer 2022,,303,4,East Harlem,12,13.7,13,NO2,375
Summer 2022,,304,4,Upper West Side,13.3,16.2,14.7,NO2,375
Summer 2022,,305,4,Upper East Side,12.4,17.6,15.2,NO2,375
Summer 2022,,306,4,Chelsea - Clinton,15.3,24.2,19.5,NO2,375
Summer 2022,,307,4,Gramercy Park - Murray Hill,15.5,24,19.6,NO2,375
Summer 2022,,308,4,Greenwich Village - SoHo,15.1,18.2,16.6,NO2,375
Summer 2022,,309,4,Union Square - Lower East Side,11.4,16.6,13.9,NO2,375
Summer 2022,,310,4,Lower Manhattan,14.8,18.7,16.7,NO2,375
Summer 2022,,401,4,Long Island City - Astoria,11.4,15.3,13.2,NO2,375
Summer 2022,,402,4,West Queens,11,15.4,12.8,NO2,375
Summer 2022,,403,4,Flushing - Clearview,9.8,12.7,11,NO2,375
